row;position;condition;size;species;notes
35;2;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
35;1;4;200;G;
34;6;4;150;G;Old stock right next to it (Yvyra pyta)
34;5;4;150;G;
34;4;4;150;G;Old stock between 4 and 5 
34;3;3;150;L;Old stock right next to it (Curupa'y)
34;2;4;200;Cu;
34;1;4;150;G;
33;16;4;200;Ti;Old stock right next to it (Curupa'y)
33;15;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
33;14;4;150;Cu;"Neighbor's tree needs to be cut down (otherwise it will grow together), Old stock right next to it (Paraiso)"
33;13;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
33;12;4;200;Cu;
33;11;4;200;Cu;
33;10;3;10;L;
33;9;4;150;G;
33;8;3;100;L;
33;7;4;200;Cu;
33;6;3;10;G;
33;5;3;50;L;
33;4;3;50;G;
33;3;4;200;Cu;
33;2;3;10;L;
33;1;4;200;Cu;
32;21;4;100;G;
32;20;4;150;G;
32;19;4;200;G;
32;18;3;150;Cu;
32;17;3;150;L;P >200cm right next to it
32;16;4;150;G;
32;15;3;10;L;
32;14;3;10;G;Old stock right next to it (Yvyra pyta)
32;13;4;200;Cu;
32;12;4;150;G;
32;11;4;150;L;
32;10;4;150;Cu;
32;9;4;200;Cu;
32;8;3;50;G;
32;7;3;50;Cu;frost damage
32;6;3;150;Cu;frost damage
32;5;3;10;G;
32;4;3;50;L;
32;3;4;200;Cu;
32;2;4;200;Cu;
32;1;4;200;Cu;
31;26;4;200;Cu;
31;25;4;200;Cu;
31;24;4;150;L;
31;23;3;150;L;
31;22;4;150;Cu;
31;21;3;10;L;
31;20;4;200;Cu;
31;19;4;200;L;
31;18;4;200;Cu;
31;17;4;150;L;
31;16;4;200;Cu;
31;15;3;10;L;
31;14;3;10;L;Old stock right next to it (Curupa'y)
31;13;3;100;Cu;frost damage
31;12;3;10;L;
31;11;3;10;G;
31;10;3;150;L;
31;9;0;0;G;
31;8;4;200;Cu;
31;7;4;200;Cu;
31;6;4;200;Cu;
31;5;4;200;Cu;
31;4;3;25;G;
31;3;3;100;G;
31;2;4;50;G;
31;1;3;200;Cu;
30;30;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
30;29;4;200;G;
30;28;4;200;Cu;
30;27;4;200;Cu;
30;26;4;100;G;
30;25;0;0;G;
30;24;4;200;Cu;
30;23;4;200;Cu;
30;22;4;150;Y;Old stock (Yvyra pyta)
30;21;0;0;Cu;
30;20;4;200;Cu;
30;19;4;200;Cu;
30;18;1;100;Y;frost damage
30;17;4;200;Y;
30;16;2;100;Y;frost damage
30;15;2;200;Cu;frost damage
30;14;3;10;G;
30;13;3;25;L;
30;12;3;50;Cu;frost damage
30;11;4;200;Cu;
30;10;4;200;Cu;
30;9;3;10;G;
30;8;4;200;Cu;
30;7;4;200;Cu;
30;6;2;10;G;mini
30;5;4;200;G;
30;4;4;200;Cu;
30;3;4;200;Cu;
30;2;4;200;G;
30;1;4;150;G;
29;34;4;100;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
29;33;4;200;G;
29;32;4;200;G;
29;31;4;200;Cu;
29;30;0;0;G;
29;29;4;150;G;
29;28;4;200;G;
29;27;4;200;Cu;
29;26;4;200;Cu;
29;25;4;200;Cu;
29;24;4;100;Y;
29;23;2;10;Y;frost damage
29;22;1;100;Y;frost damage
29;21;4;200;Y;
29;20;4;200;Cu;
29;19;1;150;Y;frost damage
29;18;3;10;G;
29;17;4;25;L;frost damage
29;16;4;200;Cu;
29;15;4;200;Cu;
29;14;4;200;Cu;
29;13;4;200;Cu;
29;12;3;10;G;frost damage
29;11;3;150;Cu;
29;10;2;10;G;
29;9;3;25;G;
29;8;3;25;G;
29;7;4;150;Cu;
29;6;4;200;Cu;
29;5;4;150;G;
29;4;4;200;G;
29;3;4;200;Cu;
29;2;4;200;Cu;Neighbor's tree needs to be cut down (otherwise it will grow together)
29;1;4;200;G;Neighbor's tree needs to be cut down (otherwise it will grow together)
28;35;3;200;Y;eaten away 
28;34;4;200;Cu;
28;33;4;200;G;
28;32;4;150;G;
28;31;4;200;G;
28;30;4;200;L;
28;29;4;200;Cu;Old stock (Curupa'y)
28;28;4;200;L;
28;27;4;25;L;
28;26;0;0;Cu;
28;25;2;200;Y;frost damage
28;24;4;200;Cu;
28;23;3;50;L;frost damage
28;22;4;100;G;
28;21;4;200;Cu;
28;20;3;10;G;
28;19;4;200;Cu;
28;18;4;150;L;
28;17;1;200;Y;frost damage
28;16;3;25;P;frost damage
28;15;1;150;Y;frost damage
28;14;4;200;Cu;
28;13;0;0;G;
28;12;4;200;Cu;
28;11;3;150;L;
28;10;3;10;C;mini
28;9;3;25;G;
28;8;3;50;G;Old stock right next to it (Curupa'y)
28;7;4;50;P;frost damage
28;6;4;200;Y;
28;5;3;150;L;
28;4;4;100;G;
28;3;4;200;L;
28;2;4;200;Y;
28;1;4;150;L;Old stock right next to it (Yvyra Pyta)
27;36;4;150;G;
27;35;4;150;G;
27;34;4;200;Cu;
27;33;4;200;Cu;
27;32;4;25;G;
27;31;4;200;G;
27;30;4;200;L;
27;29;4;200;Y;
27;28;3;25;Ti;frost damage, Old stock right next to it (Yvyra Pyta) 
27;27;3;50;Ti;frost damage
27;26;4;200;Cu;Shrub next to it to be removed
27;25;4;200;L;
27;24;4;200;L;
27;23;2;100;Y;frost damage
27;22;3;25;G;
27;21;4;200;Cu;
27;20;4;200;Cu;
27;19;4;25;P;frost damage
27;18;4;200;L;
27;17;2;25;P;frost damage
27;16;4;100;G;
27;15;3;50;Y;frost damage
27;14;3;50;P;frost damage
27;13;4;200;Y;
27;12;4;200;L;
27;11;3;100;Cu;
27;10;3;150;Y;
27;9;4;150;L;
27;8;4;200;Y;
27;7;3;25;P;frost damage
27;6;4;150;L;
27;5;4;100;G;
27;4;4;50;P;frost damage
27;3;4;200;Y;
27;2;4;200;Cu;
27;1;4;200;Y;
26;36;4;200;Y;
26;35;4;200;L;
26;34;4;150;G;
26;33;4;200;Y;Old stock (Yvyra pyta)
26;32;4;200;Cu;
26;31;4;100;G;
26;30;3;25;L;frost damage
26;29;3;25;G;frost damage
26;28;4;200;Cu;Old stock right next to it (Yvyra pyta)
26;27;4;200;L;
26;26;3;25;P;frost damage
26;25;4;200;L;
26;24;4;200;Y;
26;23;4;150;G;
26;22;4;200;Cu;
26;21;1;200;Y;frost damage
26;20;4;200;Cu;
26;19;4;150;L;
26;18;2;200;Y;frost damage
26;17;4;200;Cu;
26;16;4;150;L;
26;15;3;150;Y;frost damage
26;14;2;200;Y;frost damage
26;13;4;200;Cu;
26;12;4;200;Y;
26;11;4;200;L;
26;10;4;200;Y;
26;9;4;200;Cu;
26;8;4;200;L;
26;7;4;200;Y;
26;6;2;50;P;frost damage
26;5;4;150;C;frost damage
26;4;4;50;P;frost damage
26;3;4;200;Y;
26;2;4;200;Ti;
26;1;4;200;Cu;Old stock right next to it (Yvyra pyta)
25;36;2;50;P;frost damage
25;35;0;0;Cu;
25;34;4;150;Ti;
25;33;4;50;G;
25;32;4;200;Cu;
25;31;4;150;Cu;
25;30;4;200;Cu;
25;29;4;100;G;
25;28;4;10;G;
25;27;4;10;G;
25;26;3;50;P;frost damage
25;25;4;100;G;
25;24;4;50;G;
25;23;4;150;L;
25;22;4;150;G;
25;21;4;10;L;frost damage
25;20;4;200;L;
25;19;0;0;G;
25;18;2;150;P;frost damage
25;17;4;200;?;
25;16;4;25;P;frost damage
25;15;4;50;C;frost damage
25;14;4;25;L;
25;13;4;150;L;
25;12;4;200;Ti;
25;11;4;200;L;
25;10;4;200;Cu;
25;9;4;200;Cu;
25;8;3;25;P;frost damage
25;7;4;150;L;
25;6;3;10;P;frost damage
25;5;3;10;P;frost damage
25;4;4;150;Cu;
25;3;3;50;G;
25;2;4;200;Y;
25;1;4;200;L;
24;36;4;200;Ti;
24;35;4;150;L;
24;34;3;50;Ti;frost damage
24;33;3;150;L;
24;32;3;25;P;frost damage
24;31;3;10;Y;frost damage
24;30;3;100;Cu;
24;29;3;10;L;
24;28;2;10;Y;frost damage
24;27;4;150;G;
24;26;4;25;L;frost damage
24;25;4;200;Cu;
24;24;4;50;L;frost damage
24;23;0;0;P;missing 
24;22;3;10;L;
24;21;0;0;G;
24;20;4;200;L;
24;19;2;200;Y;frost damage
24;18;4;200;L;
24;17;3;10;P;
24;16;2;150;Y;frost damage
24;15;1;150;Y;frost damage
24;14;3;150;L;
24;13;3;25;P;frost damage
24;12;3;150;G;
24;11;3;25;P;frost damage
24;10;4;10;G;frost damage
24;9;2;150;Y;frost damage
24;8;3;25;L;frost damage
24;7;2;50;Y;frost damage
24;6;2;25;Y;frost damage
24;5;4;200;Cu;
24;4;3;50;G;
24;3;4;200;Ti;
24;2;3;50;C;
24;1;3;100;Y;
23;37;4;200;L;
23;36;4;200;L;
23;35;4;200;Y;
23;34;4;150;Y;
23;33;4;200;Y;
23;32;4;200;Y;Old stock (Yvyra pyta)
23;31;2;100;Y;frost damage damage 
23;30;3;150;L;
23;29;0;0;G;
23;28;3;200;Cu;
23;27;4;50;G;
23;26;2;50;Y;frost damage
23;25;0;0;G;
23;24;4;150;Cu;
23;23;4;25;L;frost damage
23;22;4;200;Cu;
23;21;3;150;L;
23;20;4;200;Cu;
23;19;4;100;G;
23;18;4;25;L;frost damage
23;17;4;200;Cu;
23;16;3;150;L;
23;15;3;25;Ti;frost damage
23;14;4;10;P;frost damage
23;13;3;200;Y;
23;12;3;150;Y;
23;11;2;50;Y;frost damage
23;10;3;100;L;
23;9;3;10;Y;frost damage
23;8;4;200;Cu;
23;7;4;25;P;frost damage
23;6;3;200;Y;
23;5;4;200;Cu;
23;4;4;200;Cu;
23;3;4;150;Y;
23;2;3;10;L;
23;1;4;200;Y;
22;36;4;200;Y;
22;35;4;150;Y;
22;34;4;150;Y;
22;33;4;200;L;
22;32;4;200;Y;
22;31;4;200;Cu;
22;30;2;10;Y;frost damage
22;29;0;0;P;
22;28;4;50;L;frost damage
22;27;4;10;G;frost damage
22;26;3;10;Y;frost damage
22;25;1;25;Y;frost damage
22;24;2;25;Y;frost damage
22;23;4;50;L;frost damage
22;22;4;25;L;frost damage
22;21;4;10;G;frost damage
22;20;3;10;G;frost damage
22;19;3;50;L;frost damage
22;18;2;50;Cu;frost damage
22;17;3;100;L;
22;16;0;0;P;missing 
22;15;3;100;L;
22;14;4;10;P;
22;13;3;10;Y;frost damage
22;12;4;150;Y;
22;11;4;50;G;
22;10;0;0;G;
22;9;3;10;Y;frost damage
22;8;3;50;L;
22;7;3;150;Y;
22;6;4;200;Cu;
22;5;4;200;Cu;
22;4;4;200;L;
22;3;3;10;P;frost damage
22;2;2;50;P;frost damage
22;1;4;200;G;
21;37;4;150;G;
21;36;4;200;Cu;
21;35;4;150;L;
21;34;4;200;Y;
21;33;0;0;G;
21;32;1;50;Y;frost damage
21;31;0;0;L;
21;30;2;10;Y;frost damage
21;29;0;0;G;
21;28;2;10;Y;frost damage
21;27;4;200;Cu;
21;26;2;10;Y;frost damage
21;25;4;200;Cu;
21;24;3;10;G;
21;23;4;200;Cu;
21;22;4;200;Y;
21;21;4;200;Cu;
21;20;2;10;L;frost damage
21;19;1;25;Y;
21;18;4;10;G;
21;17;4;25;L;frost damage
21;16;2;10;Y;frost damage
21;15;3;25;C;frost damage
21;14;4;200;Cu;
21;13;3;10;G;frost damage
21;12;4;25;P;frost damage
21;11;4;150;L;
21;10;4;200;Cu;
21;9;3;10;Y;frost damage
21;8;3;100;G;
21;7;4;200;Cu;
21;6;4;150;L;
21;5;3;50;P;frost damage
21;4;4;200;Y;
21;3;4;200;Cu;
21;2;3;150;L;eaten away 
21;1;2;100;Y;Cut down (1m shorter)
20;37;4;200;Cu;
20;36;4;200;U;
20;35;4;200;Y;
20;34;4;200;G;
20;33;4;200;Y;
20;32;4;200;L;
20;31;4;10;C;frost damage
20;30;4;200;Cu;
20;29;0;0;Y;Old stock next to it (Curupa'y)
20;28;4;150;L;
20;27;3;10;Y;frost damage
20;26;3;10;G;
20;25;4;50;P;frost damage
20;24;2;10;Y;frost damage
20;23;0;0;G;
20;22;0;0;Y;
20;21;3;25;L;frost damage
20;20;3;10;Y;frost damage
20;19;4;10;P;frost damage
20;18;1;100;Y;frost damage
20;17;2;25;Y;frost damage
20;16;4;10;P;frost damage
20;15;2;50;Y;frost damage
20;14;3;10;Y;frost damage
20;13;3;10;P;
20;12;4;100;L;frost damage
20;11;3;10;G;frost damage
20;10;3;10;Y;frost damage
20;9;3;10;Y;frost damage
20;8;0;0;P;missing 
20;7;2;200;Y;frost damage
20;6;1;100;L;
20;5;3;200;Y;
20;4;4;100;G;
20;3;3;200;Y;
20;2;3;50;G;frost damage
20;1;4;200;Y;
19;37;4;200;Cu;Tree next doorto it to be removed
19;36;4;150;L;
19;35;4;200;Y;
19;34;4;200;Y;
19;33;4;200;Y;
19;32;4;200;G;
19;31;0;0;L;
19;30;4;200;Cu;
19;29;1;150;Y;frost damage
19;28;3;50;Ti;frost damage
19;27;3;100;Y;frost damage
19;26;3;25;P;frost damage
19;25;3;50;Y;frost damage
19;24;3;50;Y;frost damage
19;23;1;200;Y;frost damage
19;22;3;200;Y;frost damage
19;21;2;100;Y;frost damage
19;20;3;10;Cu;
19;19;1;50;L;frost damage
19;18;2;25;Y;frost damage
19;17;2;25;Y;frost damage
19;16;2;25;Y;frost damage
19;15;0;0;Y;
19;14;2;25;Y;frost damage
19;13;3;10;P;
19;12;4;100;G;
19;11;4;200;Cu;
19;10;0;0;G;
19;9;2;100;U;frost damage
19;8;4;100;G;
19;7;3;10;G;
19;6;4;150;Cu;
19;5;3;10;L;
19;4;3;10;P;Mini
19;3;4;150;G;
19;2;2;150;Cu;eaten away 
19;1;1;50;L;eaten away 
18;37;4;200;L;
18;36;4;200;L;
18;35;4;200;Ti;
18;34;4;200;L;
18;33;4;150;G;
18;32;4;25;L;frost damage
18;31;2;10;Y;frost damage
18;30;3;10;Y;frost damage
18;29;3;50;Y;frost damage
18;28;3;25;L;frost damage
18;27;4;25;P;frost damage
18;26;4;200;Y;
18;25;3;100;Y;frost damage
18;24;4;150;Cu;
18;23;3;50;P;frost damage
18;22;3;50;P;frost damage
18;21;3;50;L;frost damage
18;20;3;50;Y;frost damage
18;19;3;10;G;frost damage
18;18;2;150;Y;frost damage
18;17;3;10;G;
18;16;3;25;L;frost damage
18;15;3;25;L;frost damage
18;14;2;100;Y;frost damage
18;13;3;10;P;
18;12;2;10;L;frost damage
18;11;4;200;Cu;
18;10;3;50;Ti;frost damage
18;9;1;100;U;frost damage
18;8;4;200;Cu;
18;7;4;150;L;
18;6;4;200;Y;
18;5;4;200;Cu;
18;4;4;200;Cu;
18;3;3;10;G;
18;2;4;200;Cu;
18;1;2;50;L;
17;37;3;25;P;frost damage
17;36;4;25;L;frost damage
17;35;4;200;Cu;
17;34;4;200;Y;
17;33;2;200;U;frost damage
17;32;2;50;P;frost damage
17;31;4;200;Y;
17;30;2;50;L;frost damage, Old stock right next to it (Paraiso) 
17;29;4;100;G;
17;28;2;50;Y;frost damage
17;27;3;50;G;
17;26;3;50;P;frost damage
17;25;0;0;Y;
17;24;0;100;L;Stummel, drübergemäht 
17;23;3;10;G;Mähschaden ?
17;22;3;50;Y;frost damage
17;21;4;10;P;frost damage
17;20;4;150;G;
17;19;4;50;L;frost damage
17;18;4;200;Cu;
17;17;4;10;G;frost damage
17;16;2;25;Y;frost damage
17;15;4;25;P;frost damage
17;14;4;25;L;frost damage
17;13;4;25;P;frost damage
